timestamp(unix),user_acc_xAshu,user_acc_x23,user_acc_x22,user_acc_x21,user_acc_x20
1475015818,-0.025826,0.394448,-0.16751,0.093453,-0.619148
1475015818,-0.027561,0.434373,-0.035116,0.151743,-0.684071
1475015818,-0.017023,0.353816,0.049901,0.164985,-0.69065
1475015818,-0.013008,0.228062,0.028029,0.080526,-0.674642
1475015818,-0.009601,0.173716,0.052944,-0.027436,-0.636578
1475015818,-0.009153,0.105961,-0.010873,-0.034984,-0.594926
1475015818,-0.009707,0.117272,0.044657,0.008154,-0.556016
1475015818,-0.013982,-0.0677,0.120604,0.041315,-0.506111
1475015818,-0.003528,0.120452,0.111057,-0.006197,-0.491173
1475015818,0.001569,-0.118048,0.152398,0.049115,-0.3922
1475015818,0.006605,-0.013227,0.208152,-0.052743,-0.447323
1475015818,0.011836,-0.235,0.204413,-0.096532,-0.363107
1475015818,0.038385,-0.207319,0.190258,-0.142846,-0.333036
1475015818,0.034892,-0.274908,0.232264,0.036105,-0.292516
1475015818,0.022208,-0.261151,0.287977,0.028559,-0.198946
1475015818,0.008105,-0.153672,0.292345,0.00288,-0.102292
1475015818,0.006052,-0.130154,0.350791,-0.060768,-0.150183
1475015818,-0.000929,-0.007076,0.375186,-0.194481,-0.047047
1475015818,0.006132,-0.024299,0.380929,-0.126961,-0.007871
1475015818,0.003534,0.045911,0.406781,-0.109226,0.047613
1475015819,0.016266,0.041214,0.442075,-0.036521,0.026726
1475015819,0.019394,0.0306,0.508157,0.049036,0.016929
1475015819,0.017526,0.052049,0.554245,0.124784,0.0427
1475015819,0.022535,0.020871,0.576102,0.241123,0.023744
1475015819,0.024383,0.085844,0.646234,0.299728,0.125735
1475015819,0.023869,0.146613,0.606551,0.366526,0.210592
1475015819,0.009852,0.188876,0.555717,0.418199,0.261802
1475015819,0.001263,0.249743,0.503981,0.44918,0.257042
1475015819,0.001341,0.237053,0.443083,0.498757,0.275972
1475015819,-0.012152,0.253608,0.354446,0.47519,0.282279
1475015819,-0.006917,0.310412,0.224684,0.525683,0.285925
1475015819,-0.00829,0.366742,0.10988,0.514657,0.263509
1475015819,0.004969,0.323649,-0.010354,0.508775,0.291967
1475015819,0.016218,0.347308,-0.112601,0.47783,0.292996
1475015819,0.014863,0.26588,-0.248214,0.535889,0.349699
1475015819,0.020383,0.256581,-0.318871,0.486259,0.43247
1475015819,0.017624,0.242362,-0.433416,0.524542,0.498462
1475015819,0.017465,0.260991,-0.514568,0.407825,0.537852
1475015819,0.003958,0.212187,-0.544533,0.4065,0.564715
1475015819,-0.001597,0.186506,-0.58743,0.347736,0.669324
1475015819,-0.001845,0.156179,-0.573335,0.319995,0.709226
1475015819,-0.004904,0.098331,-0.556192,0.332517,0.744635
1475015819,-0.004538,-0.014682,-0.525801,0.316338,0.742203
1475015819,-0.005598,-0.072066,-0.43726,0.280397,0.74661
1475015819,0.011341,-0.155544,-0.402953,0.239628,0.723167
1475015819,0.015708,-0.192074,-0.306635,0.212955,0.761359
1475015819,0.014958,-0.241733,-0.197141,0.189327,0.771021
1475015819,0.017328,-0.301567,-0.088824,0.127083,0.794088
1475015819,0.006268,-0.343949,-0.005708,0.085165,0.727853
1475015819,0.006319,-0.357931,0.142719,0.035905,0.719746
1475015819,-0.001015,-0.347647,0.247196,-0.017236,0.734648
1475015819,-0.001576,-0.331486,0.354085,-0.070821,0.711125
1475015819,-0.002176,-0.308029,0.452458,-0.110839,0.709421
1475015819,0.011434,-0.311253,0.540863,-0.185581,0.669366
1475015819,0.013784,-0.277218,0.612333,-0.249911,0.678473
1475015819,0.013556,-0.205299,0.651341,-0.26411,0.668767
1475015819,0.015151,-0.136734,0.666349,-0.284098,0.661172
1475015819,0.011758,-0.105666,0.679986,-0.32311,0.663921
1475015819,0.012296,-0.050645,0.648073,-0.339861,0.653678
