X,Y,Z
0.005836,0.000186,-0.011049
0.010427,0.000725,-0.020121
-0.000842,0.003438,0.00752
-0.006786,-0.000914,0.04265
-0.012012,0.00775,0.020356
0.006455,-0.003614,-0.019429
0.004819,-0.001493,0.007091
0.012871,-0.008181,-0.007701
0.011183,-0.004187,-0.001021
0.01054,-0.007242,0.005146
0.017588,-0.0089,-0.029572
-0.007928,0.003682,0.024715
-0.007071,0.00763,0.018495
0.001986,0.007997,-0.0081
0.012221,0.002359,-0.016424
0.015472,0.000767,-0.039953
0.010921,0.002951,-0.014911
0.025302,-0.000588,-0.065569
0.037386,-0.011384,-0.106108
0.017667,-0.010731,-0.063169
0.008221,-0.004957,-0.027336
0.020053,-0.000887,-0.089815
0.037486,-0.000242,-0.157799
0.043604,-0.00446,-0.181403
0.034228,-0.000282,-0.149473
0.026298,0.001517,-0.120997
0.023789,-0.002888,-0.088477
0.01051,-0.004584,-0.05354
-0.000693,-0.005203,-0.017235
-0.002089,-0.003977,-0.001594
-0.000101,0.002075,-0.007494
0.000358,-0.002898,-0.003211
0.001772,0.002509,0.009611
-0.003411,0.00408,0.038813
-0.006425,-0.001367,0.068995
-0.005924,-0.002476,0.092018
0.000834,-0.005268,0.090965
0.0084,-0.00492,0.075102
0.010311,-0.004488,0.070651
0.006643,-0.002313,0.076371
0.010873,-0.003062,0.06702
-0.001987,-0.000465,0.090171
-0.002636,0.002201,0.093347
-0.001176,0.001201,0.088879
0.000449,-0.000965,0.080729
0.006437,0.000009,0.036164
0.002422,-0.002775,0.067411
0.019665,-0.00674,-0.014411
0.021824,-0.006016,-0.029909
0.014294,-0.005048,-0.006258
0.001324,-0.001417,0.010846
-0.002302,0.002589,0.021048
0.000542,0.001494,0.008962
0.002521,0.004171,-0.002018
-0.000227,0.001488,0.012267
-0.000686,0.00345,0.005093
-0.001214,0.003628,0.005554
0.00185,0.001932,-0.00061
0.005056,0.002989,0.006898
0.006212,0.002856,0.004479
0.006305,0.000402,-0.002485
0.013012,-0.008146,-0.001203
0.008823,0.000079,0.001584
0.012186,0.001215,-0.006712
0.007018,0.005788,0.001815
0.002478,0.002603,0.010909
-0.000191,0.00008,0.03349
-0.006192,-0.001752,0.051198
0.007246,-0.005551,0.011047
0.020436,-0.008131,-0.033862
0.022013,-0.0114,-0.025379
0.009551,-0.010234,0.00566
0.015934,-0.008348,-0.021658
0.020433,-0.00738,-0.029049
0.012745,-0.003488,-0.000071
0.002725,-0.000243,0.020191
0.002113,0.002368,0.008517
0.012331,0.001173,-0.000349
0.008228,0.000078,-0.001048
0.007024,-0.001157,0.006916
0.007145,-0.00352,0.013677
0.011036,-0.003284,0.000448
0.011194,-0.001275,-0.016375
0.005921,0.002002,0.012745
0.012236,0.000034,-0.017132
0.000614,0.004384,0.017185
0.00854,0.004495,-0.002505
0.013614,-0.001528,-0.010172
0.012346,-0.000751,-0.003321
0.00636,-0.000168,0.02942
0.002466,0.003088,0.018658
0.012088,-0.002243,-0.025735
0.006598,-0.003643,-0.001258
-0.000453,0.003431,0.025472
-0.003529,0.003992,0.035497
0.006341,0.004532,0.003531
0.017415,-0.001052,-0.038605
0.011482,0.001915,-0.01049
0.003261,0.001385,0.025824
0.00203,0.003191,0.018931
0.008355,-0.000662,-0.00228
0.012883,-0.000306,-0.011583
0.011715,-0.003501,-0.002198
0.010857,-0.003072,0.011662
0.009378,-0.00412,0.003051
0.009405,-0.001426,-0.00732
0.009961,-0.001155,-0.005364
0.003453,0.000375,0.003472
0.00235,-0.000682,0.0091
0.001964,0.000878,0.009139
0.009782,-0.000687,-0.0015
0.011241,-0.0011,-0.004316
0.008415,-0.000933,-0.001508
0.01182,0.001379,0.001643
0.013636,0.000134,-0.002355
0.012423,-0.000594,-0.005141
0.009256,0.000669,-0.003825
0.008808,0.001883,-0.002711
0.007257,-0.002605,-0.005726
0.003749,-0.000971,0.013534
0.001024,-0.001022,0.019665
0.00136,0.003241,0.00013
0.005574,0.001923,-0.004897
0.00317,0.001057,0.015281
0.001133,0.001629,0.015621
0.012002,0.007069,-0.00264
0.009169,0.003895,-0.008021
0.009039,0.006687,0.016549
0.010513,0.00449,-0.003036
0.019275,-0.002395,-0.014629
0.021322,-0.005124,0.005224
0.013857,-0.005162,-0.000504
0.015874,-0.001789,-0.003131
0.022269,-0.005864,0.00956
0.008171,0.002623,0.002352
0.005618,-0.004741,0.002478
0.002751,-0.000237,0.004249
0.001251,-0.00338,0.024034
0.003314,-0.001499,0.013101
0.00588,-0.001726,-0.002714
0.016356,-0.003391,0.020995
0.011568,-0.005013,0.003757
0.005792,0.004275,0.006891
0.003101,0.002499,0.002182
0.012313,0.005046,0.002351
0.010177,-0.005961,0.017236
0.0148,0.003924,0.004562
0.008241,-0.004209,0.000969
0.006795,-0.002191,0.011379
0.005403,0.000876,0.011159
0.005449,0.003942,0.007138
0.006399,0.007479,0.016564
0.006673,0.003536,0.009545
0.011355,0.002672,0.016901
0.013029,-0.002744,0.009559
0.013815,-0.002107,0.019188
0.013479,-0.009193,0.005056
0.012372,-0.001618,0.01056
0.005362,0.00403,0.024411
0.002359,0.005248,0.00993
0.001341,0.005688,0.020156
0.002132,0.003874,0.017837
